State,Year,Population,CrimePropertyRate,CrimeViolentRate
AL,2011,4803689,3605.4,419.8
AL,2012,4822023,3502.2,449.9
AL,2013,4833722,3351.3,430.8
AL,2014,4849377,3177.6,427.4
AL,2015,4858979,2978.9,472.4
AL,2016,4863300,2947.8,532.3
AL,2017,4874747,2957.3,524.2
AL,2018,4887871,2817.2,519.6
AL,2019,4903185,2674.4,510.8
AK,2011,723860,2637.8,610.1
AK,2012,731449,2739.4,603.2
AK,2013,735132,2885.2,640.4
AK,2014,736732,2760.0,635.8
AK,2015,738432,2817.6,730.2
AK,2016,741894,3353.0,804.2
AK,2017,739795,3542.1,829.0
AK,2018,737438,3300.5,885.0
AK,2019,731545,2910.8,867.1
AZ,2011,6467315,3554.7,414.2
AZ,2012,6553255,3539.2,428.9
AZ,2013,6626624,3399.1,416.5
AZ,2014,6731484,3197.5,399.9
AZ,2015,6828065,3033.2,410.2
AZ,2016,6931071,2978.4,470.1
AZ,2017,7016270,2914.9,508.0
AZ,2018,7171646,2676.8,474.9
AZ,2019,7278717,2440.5,455.3
AR,2011,2938582,3757.9,482.3
AR,2012,2949131,3660.1,469.1
AR,2013,2959373,3602.6,460.3
AR,2014,2966369,3338.0,480.1
AR,2015,2978204,3251.5,521.3
AR,2016,2988248,3268.6,550.9
AR,2017,3004279,3078.6,554.9
AR,2018,3013825,2913.0,543.6
AR,2019,3017804,2858.0,584.6
CA,2011,37683933,2584.2,411.2
CA,2012,38041430,2758.7,423.1
CA,2013,38332521,2658.1,402.1
CA,2014,38802500,2441.1,396.1
CA,2015,39144818,2618.3,426.3
CA,2016,39250017,2553.0,445.3
CA,2017,39536653,2496.7,449.3
CA,2018,39557045,2380.4,447.4
CA,2019,39512223,2331.2,441.2
CO,2011,5116302,2595.3,314.4
CO,2012,5187582,2684.7,308.9
CO,2013,5268367,2658.5,308.0
CO,2014,5355866,2530.1,309.1
CO,2015,5456574,2641.5,321.0
CO,2016,5540545,2740.7,342.6
CO,2017,5607154,2701.6,368.1
CO,2018,5695564,2671.6,397.2
CO,2019,5758736,2590.7,381.0
CT,2011,3586717,2152.5,275.7
CT,2012,3590347,2140.0,283.0
CT,2013,3596080,1974.1,262.5
CT,2014,3596677,1920.4,236.9
CT,2015,3590886,1812.0,218.5
CT,2016,3576452,1808.0,227.1
CT,2017,3588184,1769.9,228.0
CT,2018,3572665,1681.0,207.4
CT,2019,3565287,1426.6,183.6
DE,2011,908137,3431.5,566.4
DE,2012,917092,3340.9,547.4
DE,2013,925749,3065.5,491.4
DE,2014,935614,2982.0,489.1
DE,2015,945934,2691.0,499.0
DE,2016,952065,2766.0,508.8
DE,2017,961939,2440.6,453.4
DE,2018,967171,2324.4,423.6
DE,2019,973764,2252.2,422.6
DC,2011,619020,4790.5,1200.8
DC,2012,632323,4860.8,1243.7
DC,2013,646449,4808.3,1300.3
DC,2014,658893,5182.5,1244.4
DC,2015,672228,4676.2,1269.1
DC,2016,681170,4802.9,1205.9
DC,2017,693972,4283.9,1004.9
DC,2018,702455,4373.8,995.9
DC,2019,705749,4367.1,1049.0
FL,2011,19082262,3517.4,514.6
FL,2012,19317568,3276.7,487.1
FL,2013,19552860,3105.3,470.4
FL,2014,19893297,3415.5,540.5
FL,2015,20271272,2813.2,461.9
FL,2016,20612439,2686.8,430.3
FL,2017,20984400,2512.4,408.0
FL,2018,21299325,2281.8,384.9
FL,2019,21477737,2145.7,378.4
GA,2011,9812460,3640.6,374.6
GA,2012,9919945,3410.6,378.9
GA,2013,9992167,3346.6,365.7
GA,2014,10097343,3281.2,377.3
GA,2015,10214860,3022.3,378.3
GA,2016,10310371,3004.5,397.6
GA,2017,10429379,2860.2,357.2
GA,2018,10519475,2573.7,326.6
GA,2019,10617423,2375.8,340.7
HI,2011,1378129,3183.6,251.4
HI,2012,1392313,3075.2,239.2
HI,2013,1404054,3053.7,251.6
HI,2014,1419561,3050.0,259.2
HI,2015,1431603,3796.2,293.4
HI,2016,1428557,2992.7,309.2
HI,2017,1427538,2829.5,250.6
HI,2018,1420491,2870.3,248.6
HI,2019,1415872,2841.2,285.5
ID,2011,1583744,2075.8,202.2
ID,2012,1595728,1983.5,207.9
ID,2013,1612136,1864.3,217.0
ID,2014,1634464,1854.8,212.2
ID,2015,1654930,1743.8,215.6
ID,2016,1683140,1744.2,230.3
ID,2017,1716943,1635.4,226.4
ID,2018,1754208,1461.4,227.1
ID,2019,1787065,1219.5,223.8
IL,2011,12859752,2678.7,424.0
IL,2012,12875255,2578.7,414.8
IL,2013,12882135,2274.3,380.2
IL,2014,12880580,2075.9,370.0
IL,2015,12859995,1988.6,383.8
IL,2016,12801539,2049.0,436.3
IL,2017,12802023,2011.4,438.8
IL,2018,12741080,1932.8,404.1
IL,2019,12671821,1846.5,406.9
IN,2011,6516353,3161.5,331.8
IN,2012,6537334,3029.2,345.7
IN,2013,6570902,2854.0,357.4
IN,2014,6596855,2649.4,365.3
IN,2015,6619680,2596.0,387.5
IN,2016,6633053,2589.4,404.7
IN,2017,6666818,2416.9,399.0
IN,2018,6691878,2179.3,382.3
IN,2019,6732219,1971.0,370.8
IA,2011,3064097,2351.2,257.3
IA,2012,3074186,2271.8,263.9
IA,2013,3090416,2193.9,271.4
IA,2014,3107126,2093.8,273.5
IA,2015,3123899,2047.3,286.1
IA,2016,3134693,2086.0,290.6
IA,2017,3145711,2125.3,293.4
IA,2018,3156145,1691.5,250.1
IA,2019,3155070,1733.7,266.6
KS,2011,2870386,3088.6,355.7
KS,2012,2885905,3143.2,354.6
KS,2013,2893957,2946.8,339.9
KS,2014,2904021,2735.2,348.6
KS,2015,2911641,2720.1,389.9
KS,2016,2907289,2695.5,380.4
KS,2017,2913123,2800.9,413.0
KS,2018,2911505,2633.9,439.0
KS,2019,2913314,2314.5,410.8
KY,2011,4366814,2725.9,239.6
KY,2012,4380415,2552.9,222.6
KY,2013,4395295,2362.9,209.8
KY,2014,4413457,2246.9,211.6
KY,2015,4425092,2177.6,218.7
KY,2016,4436974,2189.7,232.3
KY,2017,4454189,2129.1,225.8
KY,2018,4468402,1962.6,211.9
KY,2019,4467673,1897.4,217.1
LA,2011,4574766,3683.9,554.6
LA,2012,4601893,3540.6,496.9
LA,2013,4625470,3582.0,518.5
LA,2014,4649676,3458.8,514.7
LA,2015,4670724,3353.4,539.7
LA,2016,4681666,3297.7,566.1
LA,2017,4684333,3366.8,557.0
LA,2018,4659978,3276.0,537.5
LA,2019,4648794,3162.0,549.3
ME,2011,1328544,2546.3,123.3
ME,2012,1329192,2509.9,122.7
ME,2013,1328302,2292.2,129.3
ME,2014,1330089,1986.4,127.8
ME,2015,1329328,1830.0,130.1
ME,2016,1331479,1645.7,123.8
ME,2017,1335907,1507.1,121.0
ME,2018,1338404,1357.8,112.1
ME,2019,1344212,1245.6,115.2
MD,2011,5839572,2857.2,493.5
MD,2012,5884563,2753.5,476.8
MD,2013,5928814,2663.5,473.8
MD,2014,5976407,2507.5,446.1
MD,2015,6006401,2315.0,457.2
MD,2016,6016447,2284.5,472.0
